Status,Date,Original Description,Split Type,Category,Currency,Amount,User Description,Memo,Classification,Account Name,Simple Description
posted,07/22/2026, CHECKCARD  0720 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-199.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0720 Google *Google Mountain Viewca
posted,07/21/2026, CHECKCARD  0720 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0720 Google *Google Mountain Viewca
posted,07/20/2026, CHECKCARD  0719 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0719 Google *Google Mountain Viewca
posted,07/20/2026, CHECKCARD  0719 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0719 Google *Google Mountain Viewca
posted,07/20/2026, PURCHASE   0717 ELEVENLABS.IO                               ELEVENLABS.IONY xxxxxxxxxxxxxxxxxxx6278,,Online Services,USD,-22.00, , ,Personal,Bank of America - Bank - Spending Money, Elevenlabs
posted,07/20/2026, CHECKCARD  0718 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0718 Google *Google Mountain Viewca
posted,07/20/2026, PURCHASE   0718 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx7206,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,07/20/2026, CHECKCARD  0718 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0718 Google *Google Mountain Viewca
posted,07/20/2026, Rocket Money     DES:Premium    ID:ST-L0O6R2V3O1C2           INDN:ROCKET MONEY INC        CO ID:1800,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Rocket Money
posted,07/17/2026, CHECKCARD  0717 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0717 Google *Google Mountain Viewca
posted,07/15/2026, CHECKCARD  0714 DRI*UPRINTING                               xxx-xxx4211  CA xxxxxxxxxxxxxxxxxxx7301,,Online Services,USD,-134.43, , ,Personal,Bank of America - Bank - Spending Money, U Printing
posted,07/13/2026, CHECKCARD  0711 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-49.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0711 Google *Google Mountain Viewca
posted,07/13/2026, PURCHASE   0711 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx5061,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,07/13/2026, CHECKCARD  0711 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0711 Google *Google Mountain Viewca
posted,07/13/2026, USPS PO xx3171  07/13 #xxxxx0832 PURCHASE                   USPS PO xxxx7104   GREENSBORO    NC,,Postage and Shipping,USD,-425.30, , ,Personal,Bank of America - Bank - Spending Money, USPS
posted,07/13/2026, CHECKCARD  0710 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0710 Google *Google Mountain Viewca
posted,07/13/2026, CHECKCARD  0710 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0710 Google *Google Mountain Viewca
posted,07/10/2026, CHECKCARD  0710 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0710 Google *Google Mountain Viewca
posted,07/10/2026, CHECKCARD  0710 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0710 Google *Google Mountain Viewca
posted,07/10/2026, CHECKCARD  0710 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0710 Google *Google Mountain Viewca
posted,07/10/2026, Mobile Banking payment to CRD 4543                          Confirmation# 1adeuccni,,Online Services,USD,-200.00, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Mobile Banking To Crd 4543 Confirmation# 1Adeuccni
posted,07/09/2026, CHECKCARD  0709 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0709 Google *Google Mountain Viewca
posted,07/08/2026, CHECKCARD  0708 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0708 Google *Google Mountain Viewca
posted,07/08/2026, CHECKCARD  0708 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0708 Google *Google Mountain Viewca
posted,07/08/2026, CHECKCARD  0708 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0708 Google *Google Mountain Viewca
posted,07/07/2026, CHECKCARD  0707 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0707 Google *Google Mountain Viewca
posted,07/06/2026, CHECKCARD  0705 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0705 Google *Google Mountain Viewca
